Time  166 :  Santa John  giving to children: fake tattoo girl
Time  166 :  Santa John  giving to children: whistle girl
Time  167 :  Santa John  giving to children: train girl
Time  167 :  Santa John  giving to children: fake tattoo boy
Time  168 :  Santa John  giving to children: dinosaur girl
Time  168 :  Santa John  giving to children: doll boy
Time  168 :  Santa John  giving to children: bracelet boy
Time  169 :  Santa John  giving to children: fake tattoo boy
Time: 170 :  Santa John  Walking to toy department
Time  170 :  Santa John  retrieving from sleigh: doll girl
Time  170 :  Santa John  retrieving from sleigh: dinosaur boy
Time  170 :  Santa John  retrieving from sleigh: dinosaur boy
Time  170 :  Santa John  retrieving from sleigh: bracelet girl
Time  171 :  Santa John  retrieving from sleigh: doll boy
Time  171 :  Santa John  retrieving from sleigh: dinosaur girl
Time  171 :  Santa John  retrieving from sleigh: dinosaur boy
Time  172 :  Santa John  retrieving from sleigh: train boy
Time  172 :  Santa John  retrieving from sleigh: bracelet girl
Time  173 :  Santa John  retrieving from sleigh: whistle girl
Time  174 :  Santa John  Walking back to grotto
Time  174 :  Santa John  giving to children: doll girl
Time  175 :  Santa John  giving to children: dinosaur boy
Time  175 :  Santa John  giving to children: dinosaur boy
Time  175 :  Santa John  giving to children: bracelet girl
Time  176 :  Santa John  giving to children: doll boy
Time  177 :  Santa John  giving to children: dinosaur girl
Time  177 :  Santa John  giving to children: dinosaur boy
Time  178 :  Santa John  giving to children: train boy
Time  179 :  Santa John  giving to children: bracelet girl
Time  179 :  Santa John  giving to children: whistle girl
Time: 180 :  Santa John  Walking to toy department
Time  180 :  Santa John  retrieving from sleigh: bracelet girl
Time  181 :  Santa John  retrieving from sleigh: doll boy
Time  181 :  Santa John  retrieving from sleigh: fake tattoo boy
Time  181 :  Santa John  retrieving from sleigh: doll girl
Time  181 :  Santa John  retrieving from sleigh: bracelet girl
Time  182 :  Santa John  retrieving from sleigh: fake tattoo girl
Time  183 :  Santa John  retrieving from sleigh: dinosaur boy
Time  183 :  Santa John  retrieving from sleigh: fake tattoo girl
Time  184 :  Santa John  retrieving from sleigh: dinosaur boy
Time  185 :  Santa John  retrieving from sleigh: dinosaur boy
Time  186 :  Santa John  Walking back to grotto
Time  186 :  Santa John  giving to children: bracelet girl
Time  187 :  Santa John  giving to children: doll boy
Time  187 :  Santa John  giving to children: fake tattoo boy
Time  188 :  Santa John  giving to children: doll girl
Time  188 :  Santa John  giving to children: bracelet girl
Time  189 :  Santa John  giving to children: fake tattoo girl
Time  189 :  Santa John  giving to children: dinosaur boy
Time  189 :  Santa John  giving to children: fake tattoo girl
Time  190 :  Santa John  giving to children: dinosaur boy
Time  190 :  Santa John  giving to children: dinosaur boy
Time: 191 :  Santa John  Walking to toy department
Time  191 :  Santa John  retrieving from sleigh: whistle girl
Time  191 :  Santa John  retrieving from sleigh: train girl
Time  191 :  Santa John  retrieving from sleigh: train girl
Time  191 :  Santa John  retrieving from sleigh: bracelet boy
Time  191 :  Santa John  retrieving from sleigh: train girl
Time  193 :  Santa John  retrieving from sleigh: train girl
Time  193 :  Santa John  retrieving from sleigh: whistle boy
Time  193 :  Santa John  retrieving from sleigh: bracelet boy
Time  193 :  Santa John  retrieving from sleigh: train girl
Time  194 :  Santa John  retrieving from sleigh: whistle boy
Time  195 :  Santa John  Walking back to grotto
Time  195 :  Santa John  giving to children: whistle girl
Time  195 :  Santa John  giving to children: train girl
Time  196 :  Santa John  giving to children: train girl
Time  196 :  Santa John  giving to children: bracelet boy
Time  196 :  Santa John  giving to children: train girl
Time  196 :  Santa John  giving to children: train girl
Time  197 :  Santa John  giving to children: whistle boy
Time  197 :  Santa John  giving to children: bracelet boy
Time  198 :  Santa John  giving to children: train girl
Time  199 :  Santa John  giving to children: whistle boy
Time: 200 :  Santa John  Walking to toy department
Time  200 :  Santa John  retrieving from sleigh: whistle girl
Time  200 :  Santa John  retrieving from sleigh: bracelet girl
Time  200 :  Santa John  retrieving from sleigh: whistle girl
Time  201 :  Santa John  retrieving from sleigh: doll girl
Time  201 :  Santa John  retrieving from sleigh: whistle boy
Time  201 :  Santa John  retrieving from sleigh: train girl
Time  201 :  Santa John  retrieving from sleigh: bracelet girl
Time  202 :  Santa John  retrieving from sleigh: whistle girl
Time  202 :  Santa John  retrieving from sleigh: train boy
Time  202 :  Santa John  retrieving from sleigh: doll girl
Time  203 :  Santa John  Walking back to grotto
Time  204 :  Santa John  giving to children: whistle girl
Time  204 :  Santa John  giving to children: bracelet girl
Time  205 :  Santa John  giving to children: whistle girl
Time  205 :  Santa John  giving to children: doll girl
Time  206 :  Santa John  giving to children: whistle boy
Time  206 :  Santa John  giving to children: train girl
Time  207 :  Santa John  giving to children: bracelet girl
Time  207 :  Santa John  giving to children: whistle girl
Time  208 :  Santa John  giving to children: train boy
Time  208 :  Santa John  giving to children: doll girl
Time: 209 :  Santa John  Walking to toy department
Time  210 :  Santa John  retrieving from sleigh: bracelet girl
Time  210 :  Santa John  retrieving from sleigh: doll girl
Time  211 :  Santa John  retrieving from sleigh: train girl
Time  212 :  Santa John  retrieving from sleigh: bracelet boy
Time  212 :  Santa John  retrieving from sleigh: train girl
Time  212 :  Santa John  retrieving from sleigh: fake tattoo girl
Time  212 :  Santa John  retrieving from sleigh: whistle girl
Time  212 :  Santa John  retrieving from sleigh: train girl
Time  213 :  Santa John  retrieving from sleigh: train girl
Time  213 :  Santa John  retrieving from sleigh: fake tattoo girl
Time  214 :  Santa John  Walking back to grotto
Time  214 :  Santa John  giving to children: bracelet girl
Time  214 :  Santa John  giving to children: doll girl
Time  215 :  Santa John  giving to children: train girl
Time  216 :  Santa John  giving to children: bracelet boy
Time  216 :  Santa John  giving to children: train girl
Time  217 :  Santa John  giving to children: fake tattoo girl
Time  218 :  Santa John  giving to children: whistle girl
Time  218 :  Santa John  giving to children: train girl
Time  219 :  Santa John  giving to children: train girl
Time  220 :  Santa John  giving to children: fake tattoo girl
Time: 221 :  Santa John  Walking to toy department
Time  221 :  Santa John  retrieving from sleigh: doll girl
Time  221 :  Santa John  retrieving from sleigh: doll girl
Time  221 :  Santa John  retrieving from sleigh: train girl
Time  221 :  Santa John  retrieving from sleigh: doll girl
Time  223 :  Santa John  retrieving from sleigh: train girl
Time  223 :  Santa John  retrieving from sleigh: bracelet girl
Time  223 :  Santa John  retrieving from sleigh: train girl
Time  224 :  Santa John  retrieving from sleigh: whistle girl
Time  224 :  Santa John  retrieving from sleigh: whistle girl
Time  224 :  Santa John  retrieving from sleigh: dinosaur boy
Time  225 :  Santa John  Walking back to grotto
Time  225 :  Santa John  giving to children: doll girl
Time  225 :  Santa John  giving to children: doll girl
Time  226 :  Santa John  giving to children: train girl
Time  227 :  Santa John  giving to children: doll girl
Time  227 :  Santa John  giving to children: train girl
Time  228 :  Santa John  giving to children: bracelet girl
Time  228 :  Santa John  giving to children: train girl
Time  229 :  Santa John  giving to children: whistle girl
Time  229 :  Santa John  giving to children: whistle girl
Time  230 :  Santa John  giving to children: dinosaur boy
Time: 231 :  Santa John  Walking to toy department
Time  231 :  Santa John  retrieving from sleigh: train girl
Time  231 :  Santa John  retrieving from sleigh: bracelet boy
Time  231 :  Santa John  retrieving from sleigh: whistle girl
Time  231 :  Santa John  retrieving from sleigh: doll girl
Time  232 :  Santa John  retrieving from sleigh: train girl
Time  232 :  Santa John  retrieving from sleigh: doll boy
Time  232 :  Santa John  retrieving from sleigh: doll girl
Time  232 :  Santa John  retrieving from sleigh: fake tattoo boy
Time  233 :  Santa John  retrieving from sleigh: train girl
Time  234 :  Santa John  retrieving from sleigh: doll boy
Time  235 :  Santa John  Walking back to grotto
Time  235 :  Santa John  giving to children: train girl
Time  235 :  Santa John  giving to children: bracelet boy
Time  235 :  Santa John  giving to children: whistle girl
Time  235 :  Santa John  giving to children: doll girl
Time  236 :  Santa John  giving to children: train girl
Time  236 :  Santa John  giving to children: doll boy
Time  237 :  Santa John  giving to children: doll girl
Time  238 :  Santa John  giving to children: fake tattoo boy
Time  239 :  Santa John  giving to children: train girl
Time  239 :  Santa John  giving to children: doll boy
Time: 240 :  Santa John  Walking to toy department
Time  241 :  Santa John  retrieving from sleigh: doll girl
Time  241 :  Santa John  retrieving from sleigh: whistle girl
Time  242 :  Santa John  retrieving from sleigh: fake tattoo girl
Time  242 :  Santa John  retrieving from sleigh: whistle girl
Time  242 :  Santa John  retrieving from sleigh: bracelet girl
Time  242 :  Santa John  retrieving from sleigh: whistle girl
Time  242 :  Santa John  retrieving from sleigh: doll girl
Time  243 :  Santa John  retrieving from sleigh: whistle girl
Time  243 :  Santa John  retrieving from sleigh: train girl
Time  244 :  Santa John  retrieving from sleigh: train boy
Time  245 :  Santa John  Walking back to grotto
Time  245 :  Santa John  giving to children: doll girl
Time  245 :  Santa John  giving to children: whistle girl
Time  246 :  Santa John  giving to children: fake tattoo girl
Time  246 :  Santa John  giving to children: whistle girl
Time  247 :  Santa John  giving to children: bracelet girl
Time  248 :  Santa John  giving to children: whistle girl
Time  249 :  Santa John  giving to children: doll girl
Time  249 :  Santa John  giving to children: whistle girl
Time  250 :  Santa John  giving to children: train girl
Time  250 :  Santa John  giving to children: train boy
Time: 251 :  Santa John  Walking to toy department
Time  251 :  Santa John  retrieving from sleigh: doll girl
Time  251 :  Santa John  retrieving from sleigh: dinosaur boy
Time  251 :  Santa John  retrieving from sleigh: fake tattoo girl
Time  251 :  Santa John  retrieving from sleigh: fake tattoo boy
Time  252 :  Santa John  retrieving from sleigh: fake tattoo boy
Time  252 :  Santa John  retrieving from sleigh: whistle boy
Time  252 :  Santa John  retrieving from sleigh: fake tattoo boy
Time  252 :  Santa John  retrieving from sleigh: fake tattoo girl
Time  253 :  Santa John  retrieving from sleigh: dinosaur boy
Time  253 :  Santa John  retrieving from sleigh: whistle boy
Time  254 :  Santa John  Walking back to grotto
Time  255 :  Santa John  giving to children: doll girl
Time  256 :  Santa John  giving to children: dinosaur boy
Time  256 :  Santa John  giving to children: fake tattoo girl
Time  256 :  Santa John  giving to children: fake tattoo boy
Time  256 :  Santa John  giving to children: fake tattoo boy
Time  257 :  Santa John  giving to children: whistle boy
Time  258 :  Santa John  giving to children: fake tattoo boy
Time  259 :  Santa John  giving to children: fake tattoo girl
Time  260 :  Santa John  giving to children: dinosaur boy
Time  260 :  Santa John  giving to children: whistle boy
Time: 261 :  Santa John  Walking to toy department
