Time  157 :  Santa Nick  retrieving from sleigh: train boy
Time  158 :  Santa Nick  retrieving from sleigh: dinosaur girl
Time  158 :  Santa Nick  retrieving from sleigh: bracelet boy
Time  160 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  160 :  Santa Nick  retrieving from sleigh: train girl
Time  160 :  Santa Nick  retrieving from sleigh: bracelet boy
Time  160 :  Santa Nick  retrieving from sleigh: doll boy
Time  160 :  Santa Nick  retrieving from sleigh: whistle boy
Time  161 :  Santa Nick  Walking back to grotto
Time  161 :  Santa Nick  giving to children: train boy
Time  161 :  Santa Nick  giving to children: doll boy
Time  162 :  Santa Nick  giving to children: train boy
Time  162 :  Santa Nick  giving to children: dinosaur girl
Time  162 :  Santa Nick  giving to children: bracelet boy
Time  163 :  Santa Nick  giving to children: fake tattoo girl
Time  163 :  Santa Nick  giving to children: train girl
Time  163 :  Santa Nick  giving to children: bracelet boy
Time  164 :  Santa Nick  giving to children: doll boy
Time  164 :  Santa Nick  giving to children: whistle boy
Time: 165 :  Santa Nick  Walking to toy department
Time  165 :  Santa Nick  retrieving from sleigh: bracelet boy
Time  166 :  Santa Nick  retrieving from sleigh: whistle girl
Time  167 :  Santa Nick  retrieving from sleigh: bracelet girl
Time  167 :  Santa Nick  retrieving from sleigh: bracelet boy
Time  167 :  Santa Nick  retrieving from sleigh: dinosaur girl
Time  168 :  Santa Nick  retrieving from sleigh: train girl
Time  168 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  169 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  169 :  Santa Nick  retrieving from sleigh: dinosaur boy
Time  169 :  Santa Nick  retrieving from sleigh: bracelet girl
Time  170 :  Santa Nick  Walking back to grotto
Time  171 :  Santa Nick  giving to children: bracelet boy
Time  171 :  Santa Nick  giving to children: whistle girl
Time  171 :  Santa Nick  giving to children: bracelet girl
Time  172 :  Santa Nick  giving to children: bracelet boy
Time  172 :  Santa Nick  giving to children: dinosaur girl
Time  172 :  Santa Nick  giving to children: train girl
Time  173 :  Santa Nick  giving to children: fake tattoo boy
Time  173 :  Santa Nick  giving to children: fake tattoo girl
Time  174 :  Santa Nick  giving to children: dinosaur boy
Time  174 :  Santa Nick  giving to children: bracelet girl
Time: 175 :  Santa Nick  Walking to toy department
Time  177 :  Santa Nick  retrieving from sleigh: dinosaur boy
Time  177 :  Santa Nick  retrieving from sleigh: train girl
Time  177 :  Santa Nick  retrieving from sleigh: bracelet girl
Time  178 :  Santa Nick  retrieving from sleigh: dinosaur girl
Time  178 :  Santa Nick  retrieving from sleigh: bracelet girl
Time  179 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  180 :  Santa Nick  retrieving from sleigh: bracelet girl
Time  180 :  Santa Nick  retrieving from sleigh: dinosaur boy
Time  180 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  180 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  181 :  Santa Nick  Walking back to grotto
Time  182 :  Santa Nick  giving to children: dinosaur boy
Time  183 :  Santa Nick  giving to children: train girl
Time  183 :  Santa Nick  giving to children: bracelet girl
Time  184 :  Santa Nick  giving to children: dinosaur girl
